ダウンロードした時刻：2025/10/11 17:12:52

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,最低気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間)
,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号
1980/11/1,8.3,8,1,18.2,8,1,13.3,8,1,9.6,0,8,1
1980/11/2,7.7,8,1,16.3,8,1,11.8,8,1,7.2,0,8,1
1980/11/3,7.9,8,1,15.0,8,1,11.1,8,1,9.7,0,8,1
1980/11/4,5.1,8,1,16.4,8,1,11.2,8,1,8.2,0,8,1
1980/11/5,8.6,8,1,18.3,8,1,13.7,8,1,3.9,0,8,1
1980/11/6,10.3,8,1,20.9,8,1,15.6,8,1,8.7,0,8,1
1980/11/7,11.1,8,1,17.7,8,1,15.1,8,1,2.2,0,8,1
1980/11/8,9.3,8,1,17.3,8,1,13.0,8,1,6.5,0,8,1
1980/11/9,8.1,8,1,14.1,8,1,10.9,8,1,6.9,0,8,1
1980/11/10,6.9,8,1,14.5,8,1,10.6,8,1,0.5,0,8,1
1980/11/11,6.9,8,1,17.9,8,1,12.9,8,1,8.5,0,8,1
1980/11/12,10.5,8,1,19.9,8,1,14.7,8,1,4.2,0,8,1
1980/11/13,10.4,8,1,21.8,8,1,16.8,8,1,4.2,0,8,1
1980/11/14,9.3,8,1,14.3,8,1,11.3,8,1,6.6,0,8,1
1980/11/15,7.4,8,1,18.1,8,1,12.8,8,1,8.4,0,8,1
1980/11/16,8.7,8,1,12.7,8,1,11.0,8,1,0,1,8,1
1980/11/17,10.2,8,1,14.1,8,1,12.1,8,1,0,1,8,1
1980/11/18,7.1,8,1,17.8,8,1,12.4,8,1,8.7,0,8,1
1980/11/19,8.2,8,1,18.0,8,1,13.5,8,1,8.6,0,8,1
1980/11/20,9.4,8,1,19.7,8,1,14.9,8,1,8.5,0,8,1
1980/11/21,11.5,8,1,19.7,8,1,15.0,8,1,1.5,0,8,1
1980/11/22,10.5,8,1,13.1,8,1,11.9,8,1,0,1,8,1
1980/11/23,11.9,8,1,17.2,8,1,14.2,8,1,3.8,0,8,1
1980/11/24,11.1,8,1,14.3,8,1,12.6,8,1,0,1,8,1
1980/11/25,10.7,8,1,15.5,8,1,12.7,8,1,0,1,8,1
1980/11/26,10.5,8,1,18.7,8,1,14.0,8,1,8.9,0,8,1
1980/11/27,10.7,8,1,16.7,8,1,13.8,8,1,7.2,0,8,1
1980/11/28,11.6,8,1,14.9,8,1,13.1,8,1,0,1,8,1
1980/11/29,8.1,8,1,17.0,8,1,11.8,8,1,4.5,0,8,1
1980/11/30,8.6,8,1,14.1,8,1,11.4,8,1,2.6,0,8,1
1980/12/1,6.9,8,1,18.6,8,1,12.4,8,1,8.9,0,8,1
1980/12/2,7.7,8,1,12.8,8,1,10.2,8,1,2.4,0,8,1
1980/12/3,9.5,8,1,19.3,8,1,14.4,8,1,5.8,0,8,1
1980/12/4,8.3,8,1,17.4,8,1,13.4,8,1,9.0,0,8,1
1980/12/5,4.1,8,1,12.4,8,1,8.9,8,1,8.4,0,8,1
1980/12/6,4.7,8,1,12.8,8,1,8.7,8,1,8.5,0,8,1
1980/12/7,4.8,8,1,13.3,8,1,9.3,8,1,8.4,0,8,1
1980/12/8,6.0,8,1,13.9,8,1,9.3,8,1,8.6,0,8,1
1980/12/9,4.9,8,1,10.5,8,1,7.1,8,1,4.7,0,8,1
1980/12/10,3.4,8,1,13.8,8,1,9.2,8,1,8.6,0,8,1
1980/12/11,5.2,8,1,12.6,8,1,8.7,8,1,3.0,0,8,1
1980/12/12,5.3,8,1,15.7,8,1,9.1,8,1,0,1,8,1
1980/12/13,3.7,8,1,10.4,8,1,6.8,8,1,9.1,0,8,1
1980/12/14,2.3,8,1,9.3,8,1,5.7,8,1,9.0,0,8,1
1980/12/15,1.7,8,1,10.4,8,1,6.4,8,1,8.9,0,8,1
1980/12/16,2.9,8,1,11.2,8,1,7.1,8,1,6.0,0,8,1
1980/12/17,2.0,8,1,12.2,8,1,7.3,8,1,8.2,0,8,1
1980/12/18,4.6,8,1,10.9,8,1,6.9,8,1,6.2,0,8,1
1980/12/19,3.6,8,1,10.2,8,1,6.7,8,1,5.4,0,8,1
1980/12/20,2.3,8,1,10.0,8,1,5.0,8,1,6.8,0,8,1
1981/11/1,13.1,8,1,21.4,8,1,16.5,8,1,8.8,0,8,1
1981/11/2,10.9,8,1,14.9,8,1,12.4,8,1,0,1,8,1
1981/11/3,11.7,8,1,16.0,8,1,14.2,8,1,0,1,8,1
1981/11/4,12.3,8,1,18.2,8,1,15.6,8,1,1.0,0,8,1
1981/11/5,12.1,8,1,16.1,8,1,14.0,8,1,0.8,0,8,1
1981/11/6,6.7,8,1,12.2,8,1,8.4,8,1,0,1,8,1
1981/11/7,6.6,8,1,9.7,8,1,8.0,8,1,0,1,8,1
1981/11/8,6.5,8,1,11.5,8,1,8.6,8,1,3.6,0,8,1
1981/11/9,5.0,8,1,9.9,8,1,7.6,8,1,0,1,8,1
1981/11/10,3.5,8,1,13.0,8,1,8.4,8,1,9.0,0,8,1
1981/11/11,4.6,8,1,15.2,8,1,10.4,8,1,8.2,0,8,1
1981/11/12,7.0,8,1,14.1,8,1,10.6,8,1,6.7,0,8,1
1981/11/13,5.7,8,1,15.5,8,1,10.9,8,1,8.9,0,8,1
1981/11/14,6.9,8,1,16.2,8,1,12.0,8,1,8.5,0,8,1
1981/11/15,6.6,8,1,16.6,8,1,11.9,8,1,5.4,0,8,1
1981/11/16,8.8,8,1,19.8,8,1,13.8,8,1,5.8,0,8,1
1981/11/17,9.8,8,1,13.5,8,1,11.0,8,1,4.8,0,8,1
1981/11/18,6.2,8,1,12.7,8,1,10.0,8,1,8.6,0,8,1
1981/11/19,4.5,8,1,14.4,8,1,9.3,8,1,7.9,0,8,1
1981/11/20,6.6,8,1,15.4,8,1,11.5,8,1,4.3,0,8,1
1981/11/21,9.2,8,1,13.6,8,1,11.2,8,1,5.1,0,8,1
1981/11/22,7.0,8,1,13.5,8,1,9.6,8,1,9.3,0,8,1
1981/11/23,4.0,8,1,14.8,8,1,7.4,8,1,0,1,8,1
1981/11/24,7.0,8,1,17.8,8,1,12.1,8,1,8.6,0,8,1
1981/11/25,8.4,8,1,11.2,8,1,9.7,8,1,0,1,8,1
1981/11/26,5.9,8,1,9.0,8,1,7.4,8,1,0,1,8,1
1981/11/27,7.5,8,1,11.2,8,1,9.6,8,1,0,1,8,1
1981/11/28,5.0,8,1,11.9,8,1,7.6,8,1,7.4,0,8,1
1981/11/29,4.6,8,1,10.1,8,1,6.9,8,1,7.9,0,8,1
1981/11/30,2.4,8,1,8.9,8,1,6.4,8,1,0,1,8,1
1981/12/1,5.8,8,1,7.7,8,1,6.5,8,1,0,1,8,1
1981/12/2,3.1,8,1,9.8,8,1,6.4,8,1,8.6,0,8,1
1981/12/3,2.0,8,1,10.2,8,1,6.0,8,1,9.1,0,8,1
1981/12/4,1.9,8,1,10.6,8,1,6.4,8,1,6.3,0,8,1
1981/12/5,3.0,8,1,11.8,8,1,7.8,8,1,7.4,0,8,1
1981/12/6,4.4,8,1,11.8,8,1,8.2,8,1,4.0,0,8,1
1981/12/7,5.1,8,1,10.8,8,1,7.9,8,1,4.8,0,8,1
1981/12/8,5.4,8,1,12.0,8,1,8.4,8,1,9.0,0,8,1
1981/12/9,3.8,8,1,12.9,8,1,8.2,8,1,8.3,0,8,1
1981/12/10,5.3,8,1,11.6,8,1,8.0,8,1,8.5,0,8,1
1981/12/11,2.1,8,1,8.5,8,1,5.7,8,1,1.6,0,8,1
1981/12/12,3.9,8,1,13.9,8,1,9.1,8,1,7.8,0,8,1
1981/12/13,4.1,8,1,11.4,8,1,7.3,8,1,8.6,0,8,1
1981/12/14,2.0,8,1,8.6,8,1,4.7,8,1,7.2,0,8,1
1981/12/15,0.4,8,1,8.8,8,1,4.5,8,1,8.8,0,8,1
1981/12/16,2.7,8,1,11.9,8,1,7.4,8,1,8.8,0,8,1
1981/12/17,2.2,8,1,12.2,8,1,7.4,8,1,8.3,0,8,1
1981/12/18,4.7,8,1,12.3,8,1,8.1,8,1,8.4,0,8,1
1981/12/19,2.3,8,1,15.1,8,1,8.4,8,1,8.0,0,8,1
1981/12/20,4.2,8,1,12.2,8,1,8.7,8,1,7.7,0,8,1
1982/11/1,16.2,8,1,25.3,8,1,20.1,8,1,5.8,0,8,1
1982/11/2,12.2,8,1,19.3,8,1,16.1,8,1,3.8,0,8,1
1982/11/3,10.6,8,1,17.0,8,1,14.0,8,1,5.8,0,8,1
1982/11/4,11.7,8,1,18.6,8,1,15.6,8,1,1.2,0,8,1
1982/11/5,13.7,8,1,17.4,8,1,15.7,8,1,0,1,8,1
1982/11/6,14.2,8,1,17.7,8,1,15.6,8,1,1.5,0,8,1
1982/11/7,12.9,8,1,14.7,8,1,13.4,8,1,0,1,8,1
1982/11/8,12.9,8,1,19.9,8,1,16.7,8,1,5.3,0,8,1
1982/11/9,14.7,8,1,16.5,8,1,15.5,8,1,0,1,8,1
1982/11/10,12.5,8,1,16.2,8,1,14.8,8,1,0,1,8,1
1982/11/11,12.2,8,1,19.5,8,1,15.1,8,1,2.0,0,8,1
1982/11/12,12.3,8,1,20.5,8,1,16.2,8,1,8.3,0,8,1
1982/11/13,12.2,8,1,19.6,8,1,15.9,8,1,8.7,0,8,1
1982/11/14,12.8,8,1,18.5,8,1,15.7,8,1,6.2,0,8,1
1982/11/15,12.6,8,1,16.4,8,1,14.9,8,1,0.3,0,8,1
1982/11/16,13.8,8,1,21.3,8,1,17.8,8,1,3.6,0,8,1
1982/11/17,12.7,8,1,16.9,8,1,14.0,8,1,0,1,8,1
1982/11/18,12.0,8,1,16.6,8,1,14.5,8,1,2.4,0,8,1
1982/11/19,12.9,8,1,17.5,8,1,15.2,8,1,1.0,0,8,1
1982/11/20,12.7,8,1,19.0,8,1,15.3,8,1,6.1,0,8,1
1982/11/21,11.8,8,1,16.7,8,1,13.9,8,1,3.0,0,8,1
1982/11/22,11.2,8,1,17.8,8,1,14.5,8,1,2.1,0,8,1
1982/11/23,12.9,8,1,18.5,8,1,15.7,8,1,1.4,0,8,1
1982/11/24,9.0,8,1,18.6,8,1,13.2,8,1,8.6,0,8,1
1982/11/25,6.8,8,1,13.3,8,1,9.5,8,1,8.7,0,8,1
1982/11/26,5.5,8,1,14.2,8,1,9.5,8,1,8.7,0,8,1
1982/11/27,6.6,8,1,13.3,8,1,9.4,8,1,8.2,0,8,1
1982/11/28,4.9,8,1,11.1,8,1,8.0,8,1,8.8,0,8,1
1982/11/29,3.5,8,1,10.7,8,1,7.9,8,1,2.4,0,8,1
1982/11/30,7.6,8,1,24.1,8,1,16.2,8,1,4.9,0,8,1
1982/12/1,11.5,8,1,18.2,8,1,15.0,8,1,6.2,0,8,1
1982/12/2,9.1,8,1,17.2,8,1,13.5,8,1,8.8,0,8,1
1982/12/3,7.5,8,1,18.1,8,1,13.3,8,1,7.0,0,8,1
1982/12/4,10.7,8,1,16.2,8,1,13.0,8,1,7.4,0,8,1
1982/12/5,8.0,8,1,19.4,8,1,14.5,8,1,7.7,0,8,1
1982/12/6,4.5,8,1,12.7,8,1,8.0,8,1,0.3,0,8,1
1982/12/7,3.6,8,1,9.1,8,1,6.4,8,1,4.4,0,8,1
1982/12/8,2.5,8,1,12.3,8,1,8.0,8,1,8.1,0,8,1
1982/12/9,4.4,8,1,9.5,8,1,6.8,8,1,1.7,0,8,1
1982/12/10,2.9,8,1,14.8,8,1,9.4,8,1,7.7,0,8,1
1982/12/11,5.3,8,1,20.9,8,1,14.0,8,1,4.8,0,8,1
1982/12/12,10.3,8,1,14.6,8,1,13.0,8,1,0.5,0,8,1
1982/12/13,6.0,8,1,11.1,8,1,8.7,8,1,1.7,0,8,1
1982/12/14,4.2,8,1,8.5,8,1,6.5,8,1,0,1,8,1
1982/12/15,4.3,8,1,12.2,8,1,8.3,8,1,7.6,0,8,1
1982/12/16,4.6,8,1,12.3,8,1,9.0,8,1,1.9,0,8,1
1982/12/17,7.2,8,1,11.9,8,1,9.2,8,1,0,1,8,1
1982/12/18,5.5,8,1,11.4,8,1,8.8,8,1,7.0,0,8,1
1982/12/19,4.1,8,1,8.0,8,1,6.0,8,1,3.7,0,8,1
1982/12/20,1.4,8,1,11.1,8,1,6.6,8,1,7.9,0,8,1
1983/11/1,9.0,8,1,18.3,8,1,14.0,8,1,9.3,0,8,1
1983/11/2,11.2,8,1,18.7,8,1,15.2,8,1,9.1,0,8,1
1983/11/3,11.2,8,1,19.9,8,1,15.6,8,1,6.2,0,8,1
1983/11/4,13.1,8,1,17.4,8,1,15.0,8,1,0,1,8,1
1983/11/5,13.3,8,1,16.9,8,1,14.8,8,1,0.7,0,8,1
1983/11/6,11.3,8,1,13.6,8,1,12.2,8,1,0,1,8,1
1983/11/7,11.6,8,1,16.4,8,1,13.4,8,1,2.4,0,8,1
1983/11/8,9.2,8,1,17.8,8,1,13.6,8,1,9.2,0,8,1
1983/11/9,10.4,8,1,17.4,8,1,13.6,8,1,4.7,0,8,1
1983/11/10,12.2,8,1,14.7,8,1,13.6,8,1,0,1,8,1
1983/11/11,13.2,8,1,21.6,8,1,16.8,8,1,7.4,0,8,1
1983/11/12,11.4,8,1,21.6,8,1,15.5,8,1,8.1,0,8,1
